ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
16529,Legumes and Legume Products,"WORTHINGTON FriPats, frozen, unprepared",209,23.7,9.1,8,1.4,2.8,0,0.9,1.9,0,0,0,4.7,0.3,2.8,97,0,2.8,0,0,187,0,1.2,0,0.529411765,0.791666667,0,0,0,0.29375,0.230769231,2.333333333,0.080833333,0,0,0.267142857,0,0.109090909
16509,Legumes and Legume Products,"LOMA LINDA Linketts, canned, unprepared",209,21.3,11.8,4.4,0.3,3,0,0.4,2.9,0,0,0,9.5,0.7,0.4,11,0,1.8,0,0,114,0,1.5,0,0.235294118,1.208333333,0,0,0,0.59375,0.538461538,0.333333333,0.009166667,0,0,0.162857143,0,0.136363636
16534,Legumes and Legume Products,"WORTHINGTON Stakelets, frozen, unprepared",211,19.7,10.4,9.6,1.2,2.8,0,0.4,2.1,0,0,0,4.2,0.2,1.7,73,0,1.5,0,0,210,0,1.2,0,0.235294118,0.875,0,0,0,0.2625,0.153846154,1.416666667,0.060833333,0,0,0.3,0,0.109090909
18457,Baked Products,"Crackers, saltines, fat-free, low-sodium",393,10.5,1.6,82.3,0.38,2.7,0,0.085,0,0,0.12,202,5.714,0.59,0.518,22,0.145,7.72,26,0.637,113,21.4,0.94,0,0.05,0,0,0.008,0.505,0.357125,0.453846154,0.431666667,0.018333333,0.000161111,0.061904762,0.161428571,0.389090909,0.085454545
28173,Baked Products,"KELLOGG'S, POP-TARTS, Frosted Sugar Cookie Toaster Pastries",393,4.5,10.6,70.2,27.5,1.3,300,0.4,0,0,0,0,4,0.34,0.3,200,0,3.6,8,0,66,0,0.3,0.333333333,0.235294118,0,0,0,0,0.25,0.261538462,0.25,0.166666667,0,0.019047619,0.094285714,0,0.027272727
18217,Baked Products,"Crackers, matzo, plain",395,10,1.4,83.7,0.29,3,0,0.115,0,0,0.06,17,3.892,0.291,0.387,13,0.06,3.16,25,0.65,89,36.9,0.68,0,0.067647059,0,0,0.004,0.0425,0.24325,0.223846154,0.3225,0.010833333,6.67E-05,0.05952381,0.127142857,0.670909091,0.061818182
15265,Finfish and Shellfish Products,"Fish, Salmon, pink, canned, drained solids, without skin and bones",136,24.62,4.21,0,0,0,20,0.105,4.96,0,1.28,4,7.43,0.203,0.027,60,0.077,0.57,24,0.011,253,39.6,0.65,0.022222222,0.061764706,2.066666667,0,0.085333333,0.01,0.464375,0.156153846,0.0225,0.05,8.56E-05,0.057142857,0.361428571,0.72,0.059090909
15177,Finfish and Shellfish Products,"Mollusks, whelk, unspecified, raw",137,23.84,0.4,7.76,0,0,26,0.342,9.07,4,0.13,6,1.05,0.107,0.026,57,1.03,5.03,86,0.447,141,44.8,1.63,0.028888889,0.201176471,3.779166667,0.044444444,0.008666667,0.015,0.065625,0.082307692,0.021666667,0.0475,0.001144444,0.204761905,0.201428571,0.814545455,0.148181818
15260,Finfish and Shellfish Products,"Fish, salmon, pink, canned, drained solids",138,23.1,5.02,0,0,0,20,0.105,4.95,0,1.28,4,7.409,0.202,0.027,283,0.082,0.77,32,0.031,379,39.5,0.96,0.022222222,0.061764706,2.0625,0,0.085333333,0.01,0.4630625,0.155384615,0.0225,0.235833333,9.11E-05,0.076190476,0.541428571,0.718181818,0.087272727
8082,Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX",345,9.8,1.8,82.2,10.3,12.2,317,1.064,3.2,12.8,0.68,1433,10.6,0.9,0.8,213,0.397,30.6,85,3.922,319,5,11.2,0.352222222,0.625882353,1.333333333,0.142222222,0.045333333,3.5825,0.6625,0.692307692,0.666666667,0.1775,0.000441111,0.202380952,0.455714286,0.090909091,1.018181818
8435,Breakfast Cereals,"Cereals ready-to-eat, UNCLE SAM CEREAL",346,15.98,11.6,65.78,1.56,20.3,0,0.956,0,2.4,0.9,53,4.803,0.127,0.679,95,0.752,4.03,206,3.61,374,88.3,3.87,0,0.562352941,0,0.026666667,0.06,0.1325,0.3001875,0.097692308,0.565833333,0.079166667,0.000835556,0.49047619,0.534285714,1.605454545,0.351818182
8696,Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN, Cinnamon Almond",347,7.4,2.9,81.19,31.29,9.2,0,0.86,3,2,0,0,8.6,0.73,0.64,47,0,7.8,106,0,252,0,2.7,0,0.505882353,1.25,0.022222222,0,0,0.5375,0.561538462,0.533333333,0.039166667,0,0.252380952,0.36,0,0.245454545
20093,Cereal Grains and Pasta,"Pasta, fresh-refrigerated, plain, as purchased",288,11.31,2.3,54.73,0,0,14,0.093,0.31,0,0,284,3.35,0.439,0.705,15,0.228,3.35,46,0.547,163,0,1.22,0.015555556,0.054705882,0.129166667,0,0,0.71,0.209375,0.337692308,0.5875,0.0125,0.000253333,0.10952381,0.232857143,0,0.110909091
20095,Cereal Grains and Pasta,"Pasta, fresh-refrigerated, spinach, as purchased",289,11.26,2.1,55.72,0,0,25,0.315,0.31,0,0,262,3.46,0.398,0.609,43,0.197,3.3,63,0.781,148,0,1.4,0.027777778,0.185294118,0.129166667,0,0,0.655,0.21625,0.306153846,0.5075,0.035833333,0.000218889,0.15,0.211428571,0,0.127272727
20060,Cereal Grains and Pasta,"Rice bran, crude",316,13.35,20.85,49.69,0.9,21,0,4.07,0,0,4.92,63,33.995,0.284,2.753,57,0.728,18.54,781,14.21,1677,15.6,6.04,0,2.394117647,0,0,0.328,0.1575,2.1246875,0.218461538,2.294166667,0.0475,0.000808889,1.85952381,2.395714286,0.283636364,0.549090909
43597,Dairy and Egg Products,"Cheese, mozzarella, low sodium",280,27.5,17.1,3.1,1.23,0,137,0.08,0.92,0,0.15,9,0.12,0.34,0.02,731,0.027,0.25,26,0,524,15.7,3.13,0.152222222,0.047058824,0.383333333,0,0.01,0.0225,0.0075,0.261538462,0.016666667,0.609166667,3.00E-05,0.061904762,0.748571429,0.285454545,0.284545455
